status file for recon-all
Tue Jan  2 00:05:54 UTC 2018
#@# MotionCor Tue Jan  2 00:06:01 UTC 2018
#@# Talairach Tue Jan  2 00:06:20 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 00:10:05 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 00:10:05 UTC 2018
#@# Intensity Normalization Tue Jan  2 00:14:17 UTC 2018
#@# Skull Stripping Tue Jan  2 00:17:44 UTC 2018
#@# EM Registration Tue Jan  2 00:47:13 UTC 2018
#@# CA Normalize Tue Jan  2 01:16:02 UTC 2018
#@# CA Reg Tue Jan  2 01:18:34 UTC 2018
#@# SubCort Seg Tue Jan  2 06:25:36 UTC 2018
#@# Merge ASeg Tue Jan  2 09:18:09 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 09:18:09 UTC 2018
#@# Mask BFS Tue Jan  2 09:24:25 UTC 2018
#@# WM Segmentation Tue Jan  2 09:24:28 UTC 2018
#@# Fill Tue Jan  2 09:28:14 UTC 2018
#@# Tessellate lh Tue Jan  2 09:29:46 UTC 2018
#@# Tessellate rh Tue Jan  2 09:29:58 UTC 2018
#@# Smooth1 lh Tue Jan  2 09:30:14 UTC 2018
#@# Smooth1 rh Tue Jan  2 09:30:27 UTC 2018
#@# Inflation1 lh Tue Jan  2 09:30:39 UTC 2018
#@# Inflation1 rh Tue Jan  2 09:31:56 UTC 2018
#@# QSphere lh Tue Jan  2 09:33:03 UTC 2018
#@# QSphere rh Tue Jan  2 09:40:41 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 09:47:31 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 09:47:31 UTC 2018
#@# Fix Topology lh Tue Jan  2 09:47:31 UTC 2018
#@# Fix Topology rh Wed Jan  3 02:46:45 UTC 2018
#@# Make White Surf lh Wed Jan  3 11:46:24 UTC 2018
#@# Make White Surf rh Wed Jan  3 11:56:00 UTC 2018
#@# Smooth2 lh Wed Jan  3 12:05:11 UTC 2018
#@# Smooth2 rh Wed Jan  3 12:05:20 UTC 2018
#@# Inflation2 lh Wed Jan  3 12:05:27 UTC 2018
#@# Inflation2 rh Wed Jan  3 12:06:21 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 12:07:12 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 12:09:32 UTC 2018
#@# Curvature Stats lh Wed Jan  3 12:11:44 UTC 2018
#@# Curvature Stats rh Wed Jan  3 12:11:50 UTC 2018
#@# Sphere lh Wed Jan  3 12:11:56 UTC 2018
#@# Sphere rh Wed Jan  3 13:50:33 UTC 2018
#@# Surf Reg lh Wed Jan  3 15:23:49 UTC 2018
#@# Surf Reg rh Wed Jan  3 17:27:51 UTC 2018
#@# Jacobian white lh Wed Jan  3 19:39:00 UTC 2018
#@# Jacobian white rh Wed Jan  3 19:39:05 UTC 2018
#@# AvgCurv lh Wed Jan  3 19:39:10 UTC 2018
#@# AvgCurv rh Wed Jan  3 19:39:13 UTC 2018
#@# Cortical Parc lh Wed Jan  3 19:39:17 UTC 2018
#@# Cortical Parc rh Wed Jan  3 19:39:52 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 19:40:22 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 20:21:11 UTC 2018
#@# Surf Volume lh Wed Jan  3 21:00:32 UTC 2018
#@# Surf Volume rh Wed Jan  3 21:00:41 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 21:00:48 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 21:23:04 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 21:26:47 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 21:30:16 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 21:31:08 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 21:31:57 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 21:33:45 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 21:35:31 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 21:36:08 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 21:36:47 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 21:38:31 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 21:40:15 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 21:40:34 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 21:40:51 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 21:42:01 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 21:56:37 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 22:11:29 UTC 2018
#@# APas-to-ASeg Wed Jan  3 22:26:03 UTC 2018
#@# ASeg Stats Wed Jan  3 22:26:22 UTC 2018
#@# WMParc Wed Jan  3 22:39:00 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 23:12:42 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 23:25:17 UTC 2018
recon-all -s 3285 finished without error at Wed Jan  3 23:37:32 UTC 2018
