status file for recon-all
Wed Jan  3 19:00:57 UTC 2018
#@# MotionCor Wed Jan  3 19:01:06 UTC 2018
#@# Talairach Wed Jan  3 19:01:29 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 19:05:04 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 19:05:04 UTC 2018
#@# Intensity Normalization Wed Jan  3 19:09:33 UTC 2018
#@# Skull Stripping Wed Jan  3 19:14:15 UTC 2018
#@# EM Registration Wed Jan  3 20:01:33 UTC 2018
#@# CA Normalize Wed Jan  3 20:46:22 UTC 2018
#@# CA Reg Wed Jan  3 20:50:13 UTC 2018
#@# SubCort Seg Thu Jan  4 02:46:49 UTC 2018
#@# Merge ASeg Thu Jan  4 05:11:40 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 05:11:40 UTC 2018
#@# Mask BFS Thu Jan  4 05:18:49 UTC 2018
#@# WM Segmentation Thu Jan  4 05:18:54 UTC 2018
#@# Fill Thu Jan  4 05:23:32 UTC 2018
#@# Tessellate lh Thu Jan  4 05:25:08 UTC 2018
#@# Tessellate rh Thu Jan  4 05:25:24 UTC 2018
#@# Smooth1 lh Thu Jan  4 05:25:37 UTC 2018
#@# Smooth1 rh Thu Jan  4 05:25:48 UTC 2018
#@# Inflation1 lh Thu Jan  4 05:25:59 UTC 2018
#@# Inflation1 rh Thu Jan  4 05:27:02 UTC 2018
#@# QSphere lh Thu Jan  4 05:28:09 UTC 2018
#@# QSphere rh Thu Jan  4 05:34:45 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 05:41:45 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 05:41:45 UTC 2018
#@# Fix Topology lh Thu Jan  4 05:41:45 UTC 2018
#@# Fix Topology rh Thu Jan  4 07:20:11 UTC 2018
#@# Make White Surf lh Thu Jan  4 09:06:10 UTC 2018
#@# Make White Surf rh Thu Jan  4 09:15:16 UTC 2018
#@# Smooth2 lh Thu Jan  4 09:25:00 UTC 2018
#@# Smooth2 rh Thu Jan  4 09:25:10 UTC 2018
#@# Inflation2 lh Thu Jan  4 09:25:21 UTC 2018
#@# Inflation2 rh Thu Jan  4 09:26:26 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 09:27:30 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 09:30:19 UTC 2018
#@# Curvature Stats lh Thu Jan  4 09:33:10 UTC 2018
#@# Curvature Stats rh Thu Jan  4 09:33:18 UTC 2018
#@# Sphere lh Thu Jan  4 09:33:25 UTC 2018
#@# Sphere rh Thu Jan  4 11:10:11 UTC 2018
#@# Surf Reg lh Thu Jan  4 12:43:29 UTC 2018
#@# Surf Reg rh Thu Jan  4 14:09:40 UTC 2018
#@# Jacobian white lh Thu Jan  4 16:03:40 UTC 2018
#@# Jacobian white rh Thu Jan  4 16:03:44 UTC 2018
#@# AvgCurv lh Thu Jan  4 16:03:47 UTC 2018
#@# AvgCurv rh Thu Jan  4 16:03:50 UTC 2018
#@# Cortical Parc lh Thu Jan  4 16:03:53 UTC 2018
#@# Cortical Parc rh Thu Jan  4 16:04:24 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 16:04:52 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 16:32:01 UTC 2018
#@# Surf Volume lh Thu Jan  4 16:58:27 UTC 2018
#@# Surf Volume rh Thu Jan  4 16:58:33 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 16:58:38 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 17:21:12 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 17:23:29 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 17:25:49 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 17:26:20 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 17:26:51 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 17:28:02 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 17:29:16 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 17:29:41 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 17:30:07 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 17:31:18 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 17:32:29 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 17:32:40 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 17:32:51 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 17:33:34 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 17:41:21 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 17:49:10 UTC 2018
#@# APas-to-ASeg Thu Jan  4 17:57:08 UTC 2018
#@# ASeg Stats Thu Jan  4 17:57:20 UTC 2018
#@# WMParc Thu Jan  4 18:05:27 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 18:32:07 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 18:44:29 UTC 2018
recon-all -s 3386 finished without error at Thu Jan  4 18:57:24 UTC 2018
